Sr No, Blood Bank Name, State,Pincode, Contact No, Mobile, Helpline, Fax, Email, Website, Email Nodal Officer, Category, Apheresis, License #, Date License Obtained, Date of Renewal, Latitude, Longitude
2040,Dhanvantri Charitable Trust Blood Bank,Tamil Nadu,638001,04295 2233322,,,,,,,Charity,,,,,0.0,0.0
2041,IRT Perunthurai Medical College Hospital Blood Bank,Tamil Nadu,638053,04294 220910  ,,,,,http://www.irtpmc.ac.in,,Government,NO,75,17-01-1997,31-12-2012,11.280826,77.567496
2042,Idayam Hospitals Erode Limited Blood Bank,Tamil Nadu,638009,04242 256456,9842849575,,,,,,Private,NO,,,,0.0,0.0
2043,Sri Saanthi Blood Bank (Run by Kaveri trust),Tamil Nadu,638001,,,,,,,,Charity,,,,,0.0,0.0
2044,Government Head quarters Hospital Blood Bank Erode,Tamil Nadu,,,,,,,,,Government,,,,,0.0,0.0
2045,Government Hospital Blood Bank,Tamil Nadu,638452,04285 227153,"09842367605, 09442120800",,,bbghgobi@gmail.com,,mozhi@gmail.com,Government,NO,180,13-01-2000,31-12-2011,11.456457,77.428786
2046,Sri Ram Blood Bank,Tamil Nadu,638452,"04285 222596, 04285 222 224",9443014094,,,sreramdc@gmail.com,,sreramdc@gmail.com,Private,NO,190,1/1/2003,31-12-2007,11.455893,77.42957
2047,Chengalpattu Medical College Hospital Blood Bank,Tamil Nadu,603001,"044 27431909, 044 2743 1221",9445142097,,,bbcmchcpt@gmail.com,,bbcmchcpt@gmail.com,Government,NO,110/28c,,31-12-2017,12.677617,79.98029
2048,Shri Sathya Sai Medical College and Research Institute Blood Bank,Tamil Nadu,603108,044 27440700044 27440346   044 2744 0347,9842139353,,,sathyasais@yahoo.in,,sathyasais@yahoo.in,Private,NO,301,29-05-2009,28-05-2019,12.746312,80.132393
2049,Essar Blood Bank,Tamil Nadu,,,,,,,,,Private,,,,,0.0,0.0
2050,"Military Hospital Blood Bank, St. Thomas Mount",Tamil Nadu,600016,044 25316500,9840362852,,,,,,Government,NO,,,,13.024872,80.199193
2051,Meenakshi Medical College Hospital and Research Institute Blood Bank,Tamil Nadu,631552,"044 27264096, 044 27261339",,,044 27261098,"mmchri@gmail.com, bbmmchri@gmail.com",http://www.mmchri.res.in,"mmchri@gmail.com, bbmmch@gmail.com",Private,NO,204/28c,1/11/2002,1/11/2017,12.872611,79.723864
2052,Government Aringnar Anna Memorial Cancer Hospital Blood Bank,Tamil Nadu,631552,"044 27264244, 044 27264246",8220328529,,,bloodbankkanchipuram@gmail.com,,karnan.srinivas@gmail.com,Government,NO,111/28-c,1/1/2008,31-01-2012,12.86981,79.715799
2053,Government Head Quarters Hospital Blood Bank,Tamil Nadu,631501,"044 27222307, 044 272223308",8220328529,,,bloodbankkanchipuram@gmail.com,,,Government,NO,361,,31-12-2017,12.832978,79.710277
2054,Annai Medical College and Hospital Blood Bank (Run by Sri Devi Karumari Amman Educational Trust),Tamil Nadu,602117,044 27162100,1800 121 3010,,,,http://www.annaiimedicalcollege.com,,Charity,NO,,,,12.97068,79.976376
2055,SRM Medical College Hospital Blood Bank,Tamil Nadu,603203,"044 27455707, 044 2745 5510",,,,,http://www.srmuniv.ac.in,lalithacpilli@yahoo.com,Private,NO,244,13-08-2004,13-08-2009,12.822849,80.048734
2056,Chettinad Hospital and Research Institute Blood Bank,Tamil Nadu,603103,044 4741000,9443025241,,,,http://www.chettinadhospitals.com,,Private,,,,,12.794973,80.216129
2057,Madurantakam Government Hospital Blood Bank,Tamil Nadu,603306,044 27555216,"09841419802, 09952523743",,,ghmadhurantagam@gmail.com,,,Government,NO,227,30-09-2003,29-09-2013,12.50908,79.890064
2058,Karpaga Vinayaga Institute of Medical Sciences Blood Bank,Tamil Nadu,603308,044 27566050  044 2759 8484,,,,,http://www.kids.edu.in/,,Private,,,,,12.592392,79.911956
2059,Government Hospital Tambaram Blood Bank,Tamil Nadu,600044,044  22382400,9444084885,,,bloodbanktambram@gmail.com,,bloodbanktambram@gmail.com,Government,NO,73,4/12/1996,31-12-2016 ,12.9456,80.134345
2060,Saveetha Medical College and Hospital Blood Bank (A unit of Saveetha Institute of Medical and Technical Sciences,Tamil Nadu,602105,044 26810299,9842247997,,,,http://www.saveetha.com,,Private,,,,,0.0,0.0
2061,Deen Dayal Hospital Blood Bank,Tamil Nadu,631210,044 27677700,,,,,,,Private,NO,,,,13.177496,79.810762
2062,M/s Marthandam Blood Bank,Tamil Nadu,,,,,,,,,Private,,,,,0.0,0.0
2063,Sree Mookambika Institute Medical Science Blood Bank,Tamil Nadu,629161,04651 2788250,094433 77601,,,,http://www.sreemookambikainstitute.com,,Private,,,,,8.361102,77.292365
2064,Government Head Quarters Hospital Blood Bank,Tamil Nadu,629175,04651 256023,8012503145,,,,,,Government,NO,323/28-c,30-03-2011,29-03-2016,8.247696,77.313237
2065,"M/S Indian Medical Centre, Dr Kumarsawamy Health Center",Tamil Nadu,629703,,,,,,,,Private,,,,,0.0,0.0
2066,Catherine Booth Hospital Blood Bank (Run By The Salvation Army),Tamil Nadu,629001,"04652 275516, 04652 275517",9443374501,,04652 275489,oesolomon@gmail.com,,oesolomon@gmail.com,Private,NO,16,29-11-1994,31-12-2011,8.200027,77.43068
2067,Kanyakumari Medical College Hospital Blood Bank,Tamil Nadu,629003,04652 236949,"07598853127, 08012722728",,4652238176,bbkgmch@gmail.com,http://www.kkmc.ac.in,,Government,NO,85,1/12/2004,30-11-2014,8.172512,77.392704
2068,AV Rajan Blood Transfusion Services Clinical and Research Laboratories,Tamil Nadu,629012,04652 225427,9944669799,,,,,,Private,,,,,0.0,0.0
2069,Royal Blood Bank  (Run by Royal Medical Trust),Tamil Nadu,629001,04652 229903,,,,,,,Charity,,,,,0.0,0.0
2070,Kanya Blood Bank,Tamil Nadu,629 001,"04652 279850, 04652 273951",9443360716,,,kanyablood@rediffmail.com,,kanyablood@rediffmail.com,Private,NO,65,20-05-1996,31-12-2006,8.17554,77.429731
2071,Vivek Blood Bank,Tamil Nadu,629003,"04652 230108, 04652 234408",,,4652221108,viveklaboratories@gmail.com,,viveklaboratories@gmail.com,Private,NO,131,2/6/1997,1/1/2003,8.184559,77.410413
2072,Dr. Jeyasekharan Medical Trust and Nursing Home Blood Bank,Tamil Nadu,629003,"04652 230019,0465 230020,04652 230021  ",,,04652 230405,jeyasekhranmedicaltrust@gmail.com,http://www.jeyasekharanhospital.com,jeyasekhranmedicaltrust@gmail.com,Charity,NO,152,20-07-1998,17-01-2011,8.184416,77.409869
2073,Thangam Blood Bank (Run by Thangam Chartiable Community Health Trust) William Hospital,Tamil Nadu,629003,04652 277955,9442711334,,,,,,Charity,NO,265,26-10-2005,25-10-2010,8.191431,77.423288
2074,Bensam Hospital Blood Bank,Tamil Nadu,629003,"04652 232532, 04652 232533, 04652 232534, 04652 232535",094431 35977 ,,,bensamhospital2008@gmail.com,http://www.ebeneshbensam.com,,Private,NO,,,,8.189676,77.412207
2075,Lords Blood Bank (Run By Rajamony Memorial Educational Charitable Trust),Tamil Nadu,629003,04651 231112,9894476132,,,lordsonkannan@gmail.com,,,Charity,NO,310,25-02-2008,28-09-2015,0.0,0.0
2076,Siventhi Blood Bank (Siventhi Medical Trust),Tamil Nadu,629003,"04652 221221, 04652 221331",9894216218,,,,,,Charity,,,,,0.0,0.0
2077,Kanyakumari Medical Mission CSI Hospital Blood Bank,Tamil Nadu,629802,04651 222222,,,,,,,Charity,NO,,,,8.211518,77.302952
2078,Karur Blood Bank,Tamil Nadu,639002,"0432 4236177, 0432 4236188",,,,jwilliamskbbjw@yahoo.com,,jwilliamskbbjw@yahoo.com,Private,NO,139,23-01-1998,5/7/2004,10.963696,78.069084
2079,Government Head Quarters Hospital Blood Bank,Tamil Nadu,639001,0432 4260197,"09751323125, 09751097848",,,karurgh@gmail.com,,karurgh@gmail.com,Government,NO,76/C,17-01-1997,31-12-2012,10.962277,78.080228
2080,M/S. Rainbow Blood Bank ( Run by rainbow Health &Educational Trust) ,Tamil Nadu,639001,,,,,,,,Charity,,,,,0.0,0.0
2081,M/s Karur Voluntary Blood Bank and Laboratary,Tamil Nadu,639001,,,,,,,,Charity,,,,,0.0,0.0
2082,M/S TCR Blood Bank ( Run by TCR hospital & Charitable Trust),Tamil Nadu,635001,04343 239393,9585843555,,,tcrblood@gmail.com,http://www.tcrmultispecialityhospital.com,tcrhospital@gmail.com,Charity,NO,364,26-09-2014,25-09-2019,12.5186,78.2137
2083,Government Hospital Blood Bank,Tamil Nadu,635109,04344 222635,"099768 58388, 09443244005",,,ictchosur@gmail.com,,susibloodbanksr@gmail.com,Government,NO,226,18-11-2013,17-11-2018,12.72911,77.825456
2084,Arogya Blood Bank (A Unit of Arogya Seva Hospitals Private Limited),Tamil Nadu,635109,04344 225555 ,,,,bloodbank.hosur@kauveryhospital.com,,bloodbank.hosur@kauveryhospital.com,Private,NO,359,31-07-2014,30-07-2019,12.728397,77.824389
2085,Life Care Voluntary Blood Bank (Run by Life Care Trust),Tamil Nadu,635109,04344 221716,8123533773,,,hosurlifecarebloodbank@gmail.com,,,Charity,NO,369,9/1/2015,8/1/2020,0.0,0.0
2086,Government Head Quarters Hospital Blood Bank,Tamil Nadu,635001,04343 238880,"08807273816, 09444708946",,,krishnagiribs53@yahoo.in,,krishnagiribs53@yahoo.in,Government,NO,165,7/6/1999,31-12-2012,12.524837,78.220022
2087,Karunya Hospital Blood Bank,Tamil Nadu,635001,04343 235512,9842802199,,,,,,Private,NO,221,20-08-2003,18-08-2013,0.0,0.0
2088,Government Rajaji Hospital Blood Bank,Tamil Nadu,625002,0452 2520950,9786426203,,,maduraighs5@gmail.com,http://www.madurai.tn.nic.in/gh.html,,Government,NO,67/28c,1/1/2012,31-12-2016,9.926986,78.131758
2089,Meenakshi Mission Hospital and Research Centre Blood Bank,Tamil Nadu,625107,0452 2588741  ,9894734003,,4522586353,info@mmhrc.in,http://www.mmhrc.in,info@mmhrc.in,Private,YES,26/28C,14-02-1995,1/1/2008,9.947597,78.162318
2090,Thai Moogambigai Blood Bank and Clinical Laboratory,Tamil Nadu,625020,0452 2535685,,,,,,r.s.s.sundaram@gmail.com,Private,NO,157/98,1/11/1998,31-12-2016,0.0,0.0
2091,The Apollo Speciality Hospital Blood Bank,Tamil Nadu,625020,0452 2581147,,,,,http://www.apollohospitals.com,,Private,,,,,9.927966,78.148775
2092,Vadamalayan Hospital Blood Bank,Tamil Nadu,625002,0452 2545400,,,,bloodbank@vadamalayan.org,http://www.vadamalayan.org,drkp21@gmail.com,Private,NO,260/28c,5/7/2015,5/7/2015,9.942846,78.130616
2093,Sivan Blood Bank Run by Lakshmiammal Memorial Trust,Tamil Nadu,625020,0452 2536562,9865199411,,,sivanbloodbank@yahoo.com,http://www.sivanbloodbank.com,sivanbloodbank@yahoo.com,Charity,NO,271,25-12-2006,25-12-2016,9.923292,78.140268
2094,Velammal Medical College Hospital and Reserach Institute Blood Bank,Tamil Nadu,625009,0452 25110033  ,,1.80E+11,,vmchbb@gmail.com,http://www.velammalmedicalcollege.com,,Private,NO,344/28c,11/2/2013,10/2/2018,9.887094,78.150868
2095,Satyam Blood Bank,Tamil Nadu,625009,0452 2330327,"09842165654, 09943906500",,,,,drsradha@yahoo.com,Private,NO,11,1/1/2007,31-12-2011,0.0,0.0
2096,Annai Abirami Blood Bank,Tamil Nadu,625001,0452 2339750,9943906500,,,,,sondaviddear@gmail.com,Private,NO,50,9/7/2009,8/7/2014,9.915247,78.119525
2097,Vignesh Blood Bank,Tamil Nadu,625020,04522 582562,099440 98101,,,,,,Private,,,,,0.0,0.0
2098,Madhura Blood Bank,Tamil Nadu,625011,0452 4352535,9894668215,,,,,,Private,,,,,0.0,0.0
2099,Christian Mission Hospital Blood Bank,Tamil Nadu,625001,"0452 2326458, 0452 2326294",9443475393,,4522325617,maduraicmhlab@gmail.com,http://www.csimissionhospitalmadurai.com,maduraicmhlab@gmail.com,Private,NO,278,16-07-2007,15-06-2012,9.915951,78.125557
2100,Government Head Quarters Hospital Blood Bank,Tamil Nadu,625532,04552 252185,9787741087,,,bloodbankghqhust@gmail.com,,,Government,NO,216,13-05-2003,13-05-2013,9.962367,77.788596
2101,M/S Jeevan Blood Bank,Tamil Nadu,625020,,,,,,,,Private,,,,,0.0,0.0
2102,Government Hospital Blood Bank,Tamil Nadu,609001,04364 223451,9566154714,,,bbmyd@gmail.com,,,Government,NO,232,30-03-2004,8/3/2009,11.10168,79.647377
2103,Government Head Quarters Hospital Blood Bank,Tamil Nadu,611001,04365 248600,"09790152596, 07845782299, 08608058463",,,ctbnagai2014@gmail.com,,,Government,NO,,31-03-1997,31-12-2012,10.77284,79.843885
2104,Bharath Clinical Laboratory and Blood Bank,Tamil Nadu,637001,04286 22002705,9942397788,,,hitechlab1983@gmail.com,,hitechlab1983@gmail.com,Charity,NO,378/28c,9/4/2002,14-10-2020,0.0,0.0
2105,Shharc Charity Blood Bank,Tamil Nadu,637001,0428 6234552,9585500112,,,,,,Private,,,,,11.215701,78.168668
2106,Government Head Quarters Hospital Blood Bank,Tamil Nadu,637001,04286 221411,9942933213,,,bbnamakkal@gmail.com,,BBNAMAKKAL@GMAIL.COM,Government,NO,149/28C,1/1/1992,31-12-2016,11.216752,78.168939
2107,Government Hospital Blood Bank,Tamil Nadu,637408,04287 222878,094435 03984,,,cmorasipuram@gmail.com,,cmorasipuram@gmail.com,Government,NO,233,9/10/2003,8/8/2008,11.461112,78.185127
2108,Government Hospital Blood Bank Thiruchengode,Tamil Nadu,,,,,,,,,Government,,,,,0.0,0.0
2109,Vivekanandha Medical Care Hospital Blood Bank,Tamil Nadu,637205,04288 234677,,,,,,,Private,,,,,0.0,0.0
2110,Government Head Quarters Hospital Blood Bank,Tamil Nadu,621212,04328 277128,9047737699,,,perambalurbloodbank@gmail.com,,perambalurbloodbank@gmail.com,Government,NO,170/28C,1/4/2011,31-04-2012,11.23657,78.860775
2111,Muthu Medical Center Blood Bank (Muthu Charitable Trust),Tamil Nadu,621212,0432 8277477,9443747377,,,muthu_lab@yahoo.com,,muthu_lab@yahoo.com,Charity,NO,258/28C,5/4/2005,5/4/2010,11.238114,78.864898
2112,Dhanalakshmi Srinivasan Medical College and Hospital Blood Bank,Tamil Nadu,621113,04328 327999,8489923825,,4328224252,dsmedicalcollege@gmail.com,http://www.dsmedicalcollege.org,dsmedicalcollege@gmail.com,Private,NO,322/28 C,21-03-2011,20-03-2016,11.198683,78.872944
2113,M/S Kanakesa Thevar Memorial Hospital Blood Bank,Tamil Nadu,614601,,,,,,,,Charity,,,,,0.0,0.0
2114,Sree Meenakshi Multi Speciality Hospital Blood Bank (Run by Ayyamperumal and K Dakshinamoorthy Trust),Tamil Nadu,622001,04322 220234,,,,,,,Charity,NO,,,,0.0,0.0
2115,Government Head Quarters Hospital Blood Bank,Tamil Nadu,622001,04332 228111,"09442568866, 08012351765",,,pudukottabb@gmail.com,,,Government,NO,99,31-03-1997,31-12-2017,10.378804,78.818264
2116,Government Hospital Blood Bank,Tamil Nadu,616614,04371 270544 ,7639364928,,,aranthangibb@gmail.com,,aranthangibb@gmail.com,Government,NO,237,6/4/2004,5/4/2014,10.180049,79.000136
2117,Government Headquarters Hospital Blood Bank,Tamil Nadu,623501,04567 228178," 09443444159, 09842477708",,,ramanathapurambb17@gmail.com,,,Government,NO,91/28C,11/6/1997,31-12-2012,9.363747,78.831928
2118,M/S Ramnad Blood Bank( Run by C.Lakshmiammal Memorial Trust),Tamil Nadu,625503,,,,,,,,Charity,,,,,0.0,0.0
2119,Government Hospital Blood Bank,Tamil Nadu,636102,04282 243771,094422 42717,,,bbghattur@gmail.com,,bbghattur@gmail.com,Government,NO,215,23-05-2003,2008,11.59695,78.60139
2120,Annai Blood Bank,Tamil Nadu,636102,04282 241401,9488693454,,,annaibloodbankattur@gmail.com,,annaibloodbankattur@gmail.com,Private,NO,305,17-06-2009,16-06-2014,0.0,0.0
2121,Government Head Quarters Hospital Blood Bank,Tamil Nadu,636401,04298 245400,"09443203477, 09443388469",,,bbmettuegh@gmail.com,,bbmetturgh@gmail.com,Government,NO,196,16-01-2002,31-12-2013,11.795825,77.798916
2122,Government Mohan Kumaramangalam Medical College Hospital Blood Bank,Tamil Nadu,636001,"04272 210964,0427 238 3313","0888312266, 08760287458",,,salemghbloodbank@gmail.com,http://www.gmkmc.ac.in/,,Government,NO,,,,11.656585,78.153948
2123,Sri Gokulam Hospital Blood Bank,Tamil Nadu,636004,"0427 2448171, 0427 2448176",9842437887,,,,,,Private,,,,,11.672702,78.133827
2124,Sithi Vinayagar Blood Bank,Tamil Nadu,636007,"0427 2312577, 0427 2316440  ",9486499369,,,svbb_slm@yahoo.com,,svbb_slm@yahoo.com,Charity,NO,21,,12/12/2013,11.671281,78.151721
2125,Vinayaga Mission Kirubananda Variar Medical College Hospital Blood Bank,Tamil Nadu,636308,0427 3982000,,,,,https://www.vmkvmc.edu.in,,Private,,,,,11.585415,78.06378
2126,KSM Blood Bank (Run by Maruti Charitable Trust),Tamil Nadu,636016,"0427 2446788,  0427 2445453 ","09443273733, 09443823902 ",,,ksmbloodbank224@yahoo.com,,ksmbloodbank224@yahoo.com,Charity,NO,318/28 C,11/1/2011,10/1/2016,11.666537,78.143476
2127,Salem Blood Bank,Tamil Nadu,636001,04272 265432,"09585500116, 09585500113",,,salembloodbanks@gmail.com,http://www.salembloodbank.com,salembloodbanks@gmail.com,Charity,NO,279 / 28 C,24-07-2007,23-07-2012 (Applied),11.659085,78.168204
2128,Kurinji Hospital Blood Bank,Tamil Nadu,636016,"0427 2433321, 0427 2433300, 0427 2433301, 0427 2433302",7373262110,,,kurinjihospital@yahoo.co.in,http://www.kurinjihospital.in,kurinjihospital@yahoo.co.in,Private,NO,280,31-07-2007,27-07-2012,11.677233,78.135322
2129,Maruti Blood Bank,Tamil Nadu,636004,"0427 2444962, 0427 4040110","09443177063, 07708020001",,,maruthibloodbank@gmail.com,http://www.maruthibloodbank.org,maruthibloodbank@gmail.com,Charity,YES,296/28 C,Jul-97,3/6/2015,11.672426,78.136187
2130,Sivaramji Blood Bank (Unit of Janaseva Trust),Tamil Nadu,636007,"0427 2318003, 0427 2416760",,,,,,,Charity,,,,,0.0,0.0
2131,Salem Steel Authority of India Salem Steel Plant,Tamil Nadu,636013,0427 2388263,,,,,,,Private,NO,,,,11.654349,78.025247
2132,Minu Labs and Blood Bank,Tamil Nadu,636007,"0427 2318881, 0427 2332425",9443233744,,,,,,Private,NO,,,,11.675357,78.131943
2133,S Palaniyandi Mudaliar Memorial Hospital Blood Bank,Tamil Nadu,636003,"0427 2244500, 0427 2240394, 0427 2240395 ",099946 46314,,0427 2244510,spmmhospital@gmail.com,http://www.spmmhospital.com,spmmhospital@gmail.com,Charity,NO,173/28 C,20-03-2002,19-03-2017,11.661224,78.192156
2134,Sri Shellapha Hospital Blood Bank,Tamil Nadu,636007,"0427 2421266, 0427 2421277","09894264333, 09443391683",,,shrishellapha@gmail.com,http://www.shrishellaphahospital.com,shrishellapha@gmail.com,Private,NO,287/28 C,28-12-2007,27-12-2017,11.659832,78.154862
2135,M/S SKS Hospital Blood Bank ( Unit of SKS Hospital (I) Private Limited),Tamil Nadu,636004,,,,,,,,Private,,,,,0.0,0.0
2136,KaraiKudi Blood Centre (Run by Vivekananda Trust),Tamil Nadu,623001,04565 401644,9894955818,,,kbcbloodbank@gmail.com,,kbcbloodbank@gmail.com,Charity,NO,366/28c,31-10-2014,30-10-2019,0.0,0.0
2137,Government Sivagangai Medical College Hospital Blood Bank,Tamil Nadu,630561,04575 246356,"09443137776, 09842450637 ",,,bloodbanksvg@gmail.com,,bloodbanksvg@gmail.com,Government,NO,368/28 C,1998,31-12-2019,9.838881,78.478259
2138,Government Head Quarters Hospital Blood Bank,Tamil Nadu,630 004,04565 221782,"09443503407, 09442768133 ",,,govtbloodbankkaraikudi@gmail.com,,mgkrishnan76@gmail.com,Government,NO,209/28 C,25-03-2003,24-03-2013 (applied ),10.063948,78.777174
2139,Sri Kaali Blood Bank,Tamil Nadu,612001,0435 242 6037,9443249803,,,kalibloodbank@gmail.com,,,Private,NO,124,,15-01-2019,10.956521,79.37494
2140,Government Head Quarters Hospital Blood Bank,Tamil Nadu,612001,0435 2425104,7708581524,,,bbghqh.kum@gmail.com,,,Government,NO,97,31-03-1997,31-12-2012,10.969246,79.385655
2141,Government Hospital Blood Bank,Tamil Nadu,614601,04373 252080,9787799089,,,bb.gn.pkt@gmail.com,,bb.gn.pkt@gmail.com,Government,NO,160/28C,5/1/1999,31-12-2012,10.421081,79.317866
2142,Thanjavur Medical College Hospital Blood Bank,Tamil Nadu,613004,"04362 246452, 04362 240951, 04362 240124","09443586564, 09566313894",,,bb.tmch.tnjr@gmail.com,,senthilpatterson@gmail.com,Government,NO,51,12/3/1996,31-12-2016,10.758601,79.106601
2143,Sri Kaali Blood Bank,Tamil Nadu,613009,0435 2426037,9443249803,,,kalibloodbank@gmail.com,,,Private,YES,38,,15-01-2019,10.785119,79.120603
2144,Voluntary Blood Bank,Tamil Nadu,613009,,9150522642,,,,,,Private,NO,,,,0.0,0.0
2145,KMR Blood Bank (Run by KMR Charitable Trust),Tamil Nadu,613007,,,,,,,,Charity,,,,,0.0,0.0
2146,Government Raja Mirasudar Hospital,Tamil Nadu,613001,04362 276880,8148601484,,,bb.rmh.tnjr@gmail.com,,,Government,NO,108,31-03-1997,31-12-2017,10.785541,79.1366
2147,Ambigai Blood Bank,Tamil Nadu,613009,"04362 239032, 04362 32525",9488546965,,,,,,Private,,,,,0.0,0.0
2148,Lakshminarayana Blood Bank,Tamil Nadu,613007,04362 255485 ,"09360342325, 09750253323, 09092142240",,,lnbb2001@yahoo.com,,lnbb2001@yahoo.com,Private,NO,184/2001,21-03-2001,31-12-2007(Renewal applied) & 29-02-2011 (Change of constitution-applied). ,10.764582,79.134439
2149,Indian Red Cross Society Blood Bank,Tamil Nadu,613001,"04362 273456, 04362 273456, 04362  278333","09360315664, 09942176327 ",,,sec.thanjavur@gmail.com,http://www.ircsthanjavur.com,sec.thanjavur@gmail.com,Private,NO,277/28 C,19-04-2007,19-04-2017,10.776729,79.12912
2150,Meenakshi Hospital Blood Bank,Tamil Nadu,613005,0436 2226474,8508744477,,04362 228159,bloodbank@mht.org.in,http://www.mmh.org.in,bloodbank@mht.org.in,Private,NO,349,1/11/2013,31-10-2018,10.745435,79.111902
2151,Government Lawley Hospital Blood Bank,Tamil Nadu,643102,0423 2231050,9865627457,,,ghcoonoorbb@gmail.com,,ghcoonoorbb@gmail.com,Government,NO,,26-02-2003,25-02-2018,11.347494,76.792608
2152,Government Taluk Hospital Blood Bank,Tamil Nadu,643212,04262 261222,9443165933,,,ghgudalur@gmail.com,http://www.tnhealth.org,,Government,NO,358,22-07-2014,27-07-2019,9.676495,77.240608
2153,Gudalur Adivasi Hospital Blood Bank (Previously named as Ashwini hospital & under Ashwini trust),Tamil Nadu,643212,0426 2261645,9486478308,,,ashwinigudalur@gmail.com,http://www.ashwini.org,ashwinigudalur@gmail.com,Charity,NO,363,24-09-2014,23-09-2019,11.50223,76.498838
2154,"Government Head Quarters Hospital, Ooty",Tamil Nadu,,,,,,,,,Government,,,,,0.0,0.0
2155,Government Head quarters Hospital,Tamil Nadu,643001,0423 2446146,"09443042335, 09597990506",,,"bloodbanknilgiris@gmail.com,",, dramaravathyrajjan@gmail.com,Government,NO,154/28-C,22-10-1998,31-12-2016,11.407951,76.700279
2156,Military Hospital Blood Bank,Tamil Nadu,643231,0423 2200154,,,,,,,Government,NO,,,,11.367257,76.782632
2157,Government Head Quarters Hospital Blood Bank,Tamil Nadu,625601,04546 231292,7200343511,,,bbghqhpkm@gmail.com,,bbghqhpkm@gmail.com,Government,NO,105C,12/12/1996,31-12-2012,10.123029,77.53294
2158,Government Theni Medical College Hospital Blood Bank,Tamil Nadu,625531,04546 294053,"09750398219, 09942855464, 09976165113",,,bloodbankgtmch@gmail.com,http://www.tmctheni.ac.in,,Government,NO,267,8/12/2005,7/12/2015,10.006927,77.553185
2159,Vikram Clinical Blood Bank,Tamil Nadu,626531,0452 322282,904203618,,,,,,Private,,,,,0.0,0.0
2160,Government Head Quarters Hospital Blood Bank,Tamil Nadu,602001,044 27664849,"09943860348, 0944943104",,,bloodbankghtlr@gmail.com,,,Government,NO,236/28c,26-04-2004,5/4/2014,13.127649,79.91098
2161,Government Medical College and Hospital Blood Bank,Tamil Nadu,610004,04366 222204,"08883917999, 09443282313, 09750428956",,,bloodsafetythiruvarur@gmail.com,http://www.tmctvr.ac.in,,Government,NO,314,1990,17-11-2015,10.779139,79.606921
2162,Sri Venkateswara Hospital Blood Bank,Tamil Nadu,610004,"04366 242866, 04366 243143",,,,,,,Private,,,,,0.0,0.0
2163,Government Head Quarters Hospital Blood Bank,Tamil Nadu,628501,04632 223106,"08012062297, 09629179751",,,bloodbankkvp132013@gmail.com,,akroshy@gmail.com,Government,NO,84,31-03-1997,31-12-2017,9.175646,77.874168
2164,Sudiksha Prabhu Hospital Blood Bank and Research Centre,Tamil Nadu,628501,"04632 233939, 04632 233828",,,,,http://www.SudikshaPrabhuHospital.com,ramadoss.prabhu@gmail.com,Private,NO,338,3/10/2012,2/10/2017,9.172693,77.864944
2165,Aarthi Hospital Blood Bank,Tamil Nadu,628502,04362 223346,"09688213113, 09442123346",,,arthibloodbankkvp@yahoo.com,http://www.arthiscan.com,arthibloodbankkvp@yahoo.com,Private,NO,357,15-07-2014,14-07-2019,9.174494,77.866384
2166,Government Thoothukudi Medical College Hospital Blood Bank,Tamil Nadu,628 008,0462 2321052,"09842139132, 09790308787, 07598853127, 08012722728",,,govc.bloodbankthoothukudi@gmail.com,http://www.tmctkd.ac.in/,govc.bloodbankthoothukudi@gmail.com,Government,NO,89/28 C,1/1/2011,31-12-2015,8.798061,78.136134
2167,Tuticorin Blood Bank,Tamil Nadu,628002,0461 4200666,"09443388571, 09443205542",,,,,jcraj78@gmail.com,Private,NO,317,13-12-2010,12/12/2015,8.808076,78.146747
2168,Rajesh Tilak Hospital Blood Bank,Tamil Nadu,628008,,,,,,,,Private,,,,,0.0,0.0
2169,M/S Moses Blood Bank,Tamil Nadu,,,,,,,,,Private,,,,,0.0,0.0
2170,M/S AVM Hospital Blood Bank,Tamil Nadu,,,,,,,,,Private,,,,,0.0,0.0
2171,Southern Railway Hospital Blood Bank,Tamil Nadu,620002,0431 249 0708,,,,,,,Government,NO,,,,10.784568,78.725301
2172,Bharath Heavy Electricals Limited Hospital Blood Bank,Tamil Nadu,620014,0431 2571810,9003972853,,,nagaragankl9@gmail.com,,drnarayan@bheltry.co.in,Government,NO,,,,0.0,0.0
2173,Mahathma Gandhi Memorial Government Hospital Blood Bank,Tamil Nadu,620017,0431 2770047,"09443060693, 09965519761, 09790365485,",,0431 2771465,bloodbankghtrichy@gmail.com,,bloodbankghtrichy@gmail.com,Government,NO,80,3/2/1997,21-12-2017,10.811588,78.677458
2174,KMC Speciality Hospitals Blood Bank ( Kaveri Hospitals),Tamil Nadu,620001,"0431 4077777, (Ex.2508)","09443965512, 09443076418",,0431 2415402 (Hospital),Einfo@kauveryhospital.com,http://www.kauveryhospital.com,Einfo@kauveryhospital.com,Private,YES,6/28 C,23-10-2008,24-10-2013 to 23-10-2018,10.802301,78.680138
2175,Bharath Blood Bank  ,Tamil Nadu,620018,"0431 2760995, 0431 2760226",,Local-1052,,palani2000@yahoo.com,,palani2000@yahoo.com,Private,NO,54,Mar-96,31-12-2011,10.819196,78.676748
2176,Friends Blood Bank,Tamil Nadu,620001,0431 2460646,,,,,,,Private,NO,,,,0.0,0.0
2177,Victory Blood Bank,Tamil Nadu,620003,0431 2768588,,,,,,,Private,NO,,,,0.0,0.0
